n_tasks,b,alpha,m,weight,prior_risk,prior_risk_mc_se
19,8,0.13,3,0.34047123216613856,0.9079232857763695,0.00046196761845726465
19,8,0.13,4,0.4502520351450141,0.9005040702900281,0.00044907565282809806
19,8,0.13,5,0.5680722855231684,0.9089156568370694,0.00038828404204375907
19,8,0.13,6,0.7028854978028859,0.9371806637371812,0.0002762240842175392
19,8,0.13,7,0.8750411386827567,1.0000470156374361,0.00014431388383143642
19,8,0.14,1,0.12499999999999996,0.9999999999999997,0.0
19,8,0.14,2,0.23567365204992682,0.9426946081997073,0.0003939886423283901
19,8,0.14,3,0.3424504520695969,0.9132012055189251,0.00044718357452280995
19,8,0.14,4,0.45305177934519697,0.9061035586903939,0.000433877954154187
19,8,0.14,5,0.5713136956748482,0.9141019130797572,0.00037484491188082887
19,8,0.14,6,0.7062340943990154,0.9416454591986874,0.00026480273365143313
19,8,0.14,7,0.8750531098824429,1.0000606970085062,0.00013828798589376597
19,8,0.15,1,0.12499999999999997,0.9999999999999998,1.2117174400998395e-18
19,8,0.15,2,0.23645472298230696,0.9458188919292279,0.0003813196950227532
19,8,0.15,3,0.34412357775452773,0.917662874012074,0.0004342824748598544
19,8,0.15,4,0.4555339318848622,0.9110678637697244,0.0004210187082333592
19,8,0.15,5,0.5740942968315549,0.9185508749304876,0.00036276845900374486
19,8,0.15,6,0.7090923569062447,0.9454564758749928,0.00025454583764849024
19,8,0.15,7,0.8749880725138496,0.9999863685872566,0.00013316449608161493
19,8,0.16,1,0.12499999999999993,0.9999999999999994,5.767308969705966e-19
19,8,0.16,2,0.23727141961866025,0.949085678474641,0.00037001946715983444
19,8,0.16,3,0.3457644022120537,0.9220384058988096,0.00042177267682046263
19,8,0.16,4,0.45781433891713,0.91562867783426,0.000408568796152536
19,8,0.16,5,0.5767297027629639,0.9227675244207422,0.00034994205432715107
19,8,0.16,6,0.711689191473193,0.9489189219642574,0.0002443746986650689
19,8,0.16,7,0.8749521181013717,0.9999452778301392,0.00012808495446922443
19,8,0.17,1,0.12499999999999994,0.9999999999999996,1.1020597532129759e-18
19,8,0.17,2,0.2380382008813776,0.9521528035255103,0.00035983177580561736
19,8,0.17,3,0.34736414985326425,0.9263043996087045,0.0004107475674179418
19,8,0.17,4,0.45999978551810894,0.9199995710362179,0.00039673312801847687
19,8,0.17,5,0.579293763660484,0.9268700218567745,0.00033821533818970844
19,8,0.17,6,0.713844613412328,0.9517928178831039,0.00023634749306597532
19,8,0.17,7,0.8749726863171323,0.999968784362437,0.00012350431459268974
19,8,0.18,1,0.12499999999999996,0.9999999999999997,5.281845251717248e-19
19,8,0.18,2,0.23875381700248802,0.9550152680099521,0.00035055584805606863
19,8,0.18,3,0.3489085261787607,0.9304227364766954,0.0003992719515397278
19,8,0.18,4,0.4621720999227205,0.924344199845441,0.0003861057098834675
19,8,0.18,5,0.5817529520200707,0.930804723232113,0.0003270941435576288
19,8,0.18,6,0.7158535694776017,0.9544714259701356,0.0002288670443771389
19,8,0.18,7,0.8750156367062996,1.0000178705214853,0.00011913610077633861
19,8,0.19,1,0.125,1.0,0.0
19,8,0.19,2,0.23937304472570234,0.9574921789028094,0.000340640381602623
19,8,0.19,3,0.3501369996643412,0.9336986657715766,0.00038821339463472056
19,8,0.19,4,0.4640104925355242,0.9280209850710484,0.0003743752509464074
19,8,0.19,5,0.5839970936954114,0.9343953499126583,0.0003166148722147093
19,8,0.19,6,0.7177532450194527,0.9570043266926037,0.00022194946091953633
19,8,0.19,7,0.8750245489561549,1.0000280559498915,0.00011520046227650013
19,8,0.2,1,0.12499999999999996,0.9999999999999997,4.893474277326272e-19
19,8,0.2,2,0.23999381035444878,0.9599752414177951,0.0003313185184159643
19,8,0.2,3,0.35136846106232456,0.9369825628328655,0.00037730031723462947
19,8,0.2,4,0.46573892528460564,0.9314778505692113,0.0003633791022396964
19,8,0.2,5,0.5859803317395732,0.937568530783317,0.00030728534890663137
19,8,0.2,6,0.7196065469373482,0.9594753959164642,0.0002150604462299373
19,8,0.2,7,0.875070152212617,1.0000801739572767,0.00011136141925310908
19,8,0.25,1,0.12500000000000003,1.0000000000000002,4.19440652342252e-19
19,8,0.25,2,0.2423671380064028,0.9694685520256112,0.00029282147105052695
19,8,0.25,3,0.3565279500063458,0.9507412000169222,0.000336101679010707
19,8,0.25,4,0.4727342415331787,0.9454684830663574,0.0003215830806818073
19,8,0.25,5,0.5940884055466095,0.9505414488745753,0.00027049509122903983
19,8,0.25,6,0.7276213164914287,0.970161755321905,0.00018680190362901585
19,8,0.25,7,0.875054440236133,1.0000622174127234,9.697610125849345e-05
19,8,0.5,1,0.12500000000000003,1.0000000000000002,1.1185084062460053e-18
19,8,0.5,2,0.24781916330710727,0.9912766532284291,0.00018163496365052446
19,8,0.5,3,0.3684628438905025,0.9825675837080067,0.00020824261462039416
19,8,0.5,4,0.4895914421306081,0.9791828842612162,0.0002005251041509556
19,8,0.5,5,0.6139607730296723,0.9823372368474755,0.00016705039708386443
19,8,0.5,6,0.7453420923487731,0.9937894564650308,0.00011640578562564117
19,8,0.5,7,0.8750078659238364,1.0000089896272417,6.078558468233139e-05
19,8,1.0,1,0.12500000000000003,1.0000000000000002,4.19440652342252e-19
19,8,1.0,2,0.2500525638479857,1.0002102553919427,9.49105625298827e-05
19,8,1.0,3,0.37503621242906526,1.0000965664775074,0.0001124295002588165
19,8,1.0,4,0.49910546885810886,0.9982109377162177,0.00010672719094625327
19,8,1.0,5,0.6250092496956635,1.0000147995130617,9.0252251868989e-05
19,8,1.0,6,0.7499980926368152,0.999997456849087,6.49068377943709e-05
19,8,1.0,7,0.874997317942578,0.9999969347915179,3.43385200314153e-05
19,16,0.01,1,0.0625,1.0,1.023189091332343e-18
19,16,0.01,2,0.09902255405347755,0.7921804324278204,0.0008289774847552422
19,16,0.01,3,0.1285607624331659,0.6856573996435513,0.0009536623685289192
19,16,0.01,4,0.156597401577713,0.626389606310852,0.001009925168464665
19,16,0.01,5,0.18508542157917368,0.5922733490533557,0.0010428308287632143
19,16,0.01,6,0.21529509115121767,0.5741202430699137,0.0010655100098138886
19,16,0.01,7,0.2482391343552743,0.5674037356691984,0.0010826334025078892
19,16,0.01,8,0.28469192834766605,0.5693838566953321,0.0010979172372470698
19,16,0.01,9,0.32608613584006835,0.5797086859378991,0.0011061502881130445
19,16,0.01,10,0.37428928611803514,0.5988628577888562,0.0011077007998905226
19,16,0.01,11,0.43053344350326406,0.626230463277475,0.0010946593713121492
19,16,0.01,12,0.4993324724614987,0.6657766299486648,0.001061043940230844
19,16,0.01,13,0.5831654017985006,0.71774203298277,0.0009746673080953999
19,16,0.01,14,0.6881770801702285,0.7864880916231183,0.0008498770652642813
19,16,0.01,15,0.937878486810719,1.0004037192647668,0.00029770008437076295
19,16,0.02,1,0.0625,1.0,1.043251622534938e-18
19,16,0.02,2,0.10264188843533258,0.8211351074826606,0.0007457453916651845
19,16,0.02,3,0.13605405883949206,0.7256216471439577,0.0008606569486872135
19,16,0.02,4,0.16820071399395656,0.6728028559758262,0.0009160334690558749
19,16,0.02,5,0.20069648408273158,0.642228749064741,0.0009449831452926061
19,16,0.02,6,0.23498677868412726,0.6266314098243393,0.0009593926304226778
19,16,0.02,7,0.2718582561068724,0.6213902996728512,0.0009658401157664156
19,16,0.02,8,0.31256906741641916,0.6251381348328383,0.0009682540680794768
19,16,0.02,9,0.3579971058686347,0.6364392993220173,0.0009627905466051353
19,16,0.02,10,0.4094284592105505,0.6550855347368807,0.0009474277247453047
19,16,0.02,11,0.46944773551138924,0.682833069834748,0.0009170597523244217
19,16,0.02,12,0.5394062728684281,0.7192083638245709,0.0008681078211199242
19,16,0.02,13,0.6236408213070761,0.7675579339164013,0.0007740644046184711
19,16,0.02,14,0.72501437087498,0.8285878524285486,0.0006310916583773682
19,16,0.02,15,0.9377411634658125,1.0002572410302,0.0002106896799929115
19,16,0.03,1,0.0625,1.0,0.0
19,16,0.03,2,0.10504158861371318,0.8403327089097055,0.0006905716113484792
19,16,0.03,3,0.14137610151809832,0.754005874763191,0.0008083246324954914
19,16,0.03,4,0.17644273691105997,0.7057709476442399,0.0008605383448955749
19,16,0.03,5,0.2117850262334768,0.6777120839471258,0.0008853195795853049
19,16,0.03,6,0.2489826391169737,0.6639537043119297,0.0008964883797568724
19,16,0.03,7,0.2887318196465565,0.6599584449064148,0.0008973015161233477
19,16,0.03,8,0.332027485237583,0.664054970475166,0.0008944432164090628
19,16,0.03,9,0.3801626855802231,0.6758447743648411,0.0008813510442882944
19,16,0.03,10,0.43408375411737915,0.6945340065878067,0.0008572056422402465
19,16,0.03,11,0.49538602834702455,0.7205614957774903,0.0008187483365350624
19,16,0.03,12,0.566188548401245,0.7549180645349933,0.0007621534286076139
19,16,0.03,13,0.6500763251070217,0.8000939385932576,0.0006637425556652559
19,16,0.03,14,0.7471351340527582,0.8538687246317236,0.0005239811825243459
19,16,0.03,15,0.9376030969714587,1.0001099701028893,0.00017244838643065653
19,16,0.04,1,0.06250000000000001,1.0000000000000002,1.0833766849401281e-18
19,16,0.04,2,0.10703147794189882,0.8562518235351906,0.0006533501539763539
19,16,0.04,3,0.14556676713414413,0.7763560913821022,0.0007684937975712927
19,16,0.04,4,0.18286727562012148,0.7314691024804859,0.0008159658054928025
19,16,0.04,5,0.2204815859363404,0.7055410749962893,0.0008377668444997155
19,16,0.04,6,0.2599054236365206,0.6930811296973882,0.0008468181942048972
19,16,0.04,7,0.30188168515621333,0.6900152803570592,0.0008449024073945371
19,16,0.04,8,0.34738116378536116,0.6947623275707223,0.0008360573493288171
19,16,0.04,9,0.39739102784802105,0.706472938396482,0.0008181923806110788
19,16,0.04,10,0.4527282399536601,0.7243651839258562,0.0007898727708669165
19,16,0.04,11,0.515224209393135,0.7494170318445599,0.0007454368372734287
19,16,0.04,12,0.5862216355008328,0.7816288473344438,0.0006844916619407143
19,16,0.04,13,0.6693323360609825,0.8237936443827477,0.0005861379541836446
19,16,0.04,14,0.7628905162857897,0.8718748757551884,0.000453035675625418
19,16,0.04,15,0.9375692506056059,1.0000738673126461,0.00014875077298565653
19,16,0.05,1,0.06250000000000001,1.0000000000000002,1.3241270593712672e-18
19,16,0.05,2,0.10869744205530281,0.8695795364424225,0.0006252621157427262
19,16,0.05,3,0.149110243991996,0.7952546346239786,0.0007358996476293062
19,16,0.05,4,0.18828541336696356,0.7531416534678542,0.0007825311558467675
19,16,0.05,5,0.22787075039491633,0.7291864012637324,0.0008045191732164789
19,16,0.05,6,0.2692375513594164,0.7179668036251106,0.0008102143839399593
19,16,0.05,7,0.3129889493900993,0.7154033128916555,0.000804632918268546
19,16,0.05,8,0.360083211638798,0.720166423277596,0.0007918511210657409
19,16,0.05,9,0.4114539974160286,0.7314737731840508,0.0007700054507673086
19,16,0.05,10,0.46800573163022097,0.7488091706083535,0.0007374708029609496
19,16,0.05,11,0.5312569364363715,0.7727373620892676,0.0006898392015574026
19,16,0.05,12,0.6022156587932992,0.8029542117243991,0.00062643826992557
19,16,0.05,13,0.684475006271185,0.8424307769491507,0.000529998154507379
19,16,0.05,14,0.7750689944565607,0.8857931365217836,0.00040341676409762656
19,16,0.05,15,0.937568860721574,1.0000734514363456,0.00013250009785557764
19,16,0.06,1,0.06250000000000001,1.0000000000000002,0.0
19,16,0.06,2,0.11002184914428177,0.8801747931542542,0.0005974751129270465
19,16,0.06,3,0.15205758605372174,0.8109737922865159,0.0007080996946880624
19,16,0.06,4,0.19284849033990534,0.7713939613596213,0.0007537471349741439
19,16,0.06,5,0.23407233557857748,0.749031473851448,0.0007734658556897364
19,16,0.06,6,0.27697923269665864,0.7386112871910896,0.0007778992864579302
19,16,0.06,7,0.32219031234158985,0.7364349996379197,0.0007701573981233222
19,16,0.06,8,0.37060471860914534,0.7412094372182907,0.0007550121404300007
19,16,0.06,9,0.42316081551467394,0.7522858942483092,0.0007297444914209966
19,16,0.06,10,0.480588209979742,0.7689411359675872,0.0006939935723809148
19,16,0.06,11,0.5443193649046482,0.7917372580431244,0.0006443164004665161
19,16,0.06,12,0.6152105194145561,0.8202806925527414,0.0005799341785343091
19,16,0.06,13,0.6966020571313993,0.857356378007876,0.00048569684231027067
19,16,0.06,14,0.7847423561951886,0.8968484070802157,0.00036567163217704414
19,16,0.06,15,0.9375406394946912,1.0000433487943372,0.00012056596977368267
19,16,0.07,1,0.06249999999999998,0.9999999999999997,6.534653020273789e-19
19,16,0.07,2,0.11115228293410441,0.8892182634728353,0.0005725764707451295
19,16,0.07,3,0.1546220557480406,0.8246509639895498,0.0006815765035514829
19,16,0.07,4,0.19687169657882783,0.7874867863153113,0.0007263506329725482
19,16,0.07,5,0.2394932408732896,0.7663783707945266,0.0007443615676971768
19,16,0.07,6,0.28369888765578777,0.7565303670821006,0.0007468553393478527
19,16,0.07,7,0.33021427891082294,0.7547754946533095,0.0007382165803635649
19,16,0.07,8,0.37980826583810184,0.7596165316762037,0.0007204459191463029
19,16,0.07,9,0.43336311433162106,0.7704233143673264,0.0006932531795971175
19,16,0.07,10,0.49148092253213393,0.7863694760514143,0.0006557340835777084
19,16,0.07,11,0.5554944491777988,0.8079919260767982,0.0006047640508885244
19,16,0.07,12,0.6262119463708337,0.8349492618277781,0.0005402521918497057
19,16,0.07,13,0.7067689721197271,0.8698695041473563,0.0004486125752950497
19,16,0.07,14,0.7927373988973387,0.9059855987398157,0.00033478703901253064
19,16,0.07,15,0.9375445515580191,1.000047521661887,0.00011100461308352703
19,16,0.08,1,0.0625,1.0,0.0
19,16,0.08,2,0.11214680838646675,0.897174467091734,0.0005509378430710516
19,16,0.08,3,0.15681863257848488,0.8363660404185862,0.0006588116538303664
19,16,0.08,4,0.20033377495193375,0.801335099807735,0.0007035177663754054
19,16,0.08,5,0.24418698361240565,0.7813983475596982,0.0007206778725929662
19,16,0.08,6,0.28962697396801923,0.7723385972480513,0.0007217870753027846
19,16,0.08,7,0.3372826067800075,0.770931672640017,0.0007117656138779571
19,16,0.08,8,0.38791857619887965,0.7758371523977593,0.0006921973541287972
19,16,0.08,9,0.44226469783350725,0.7862483517040129,0.000663135153211805
19,16,0.08,10,0.5009308978650028,0.8014894365840045,0.0006244403960288772
19,16,0.08,11,0.5652250330339544,0.8221455025948428,0.0005729398725578453
19,16,0.08,12,0.6356434074426754,0.8475245432569007,0.0005080935047347985
19,16,0.08,13,0.7153708975541943,0.8804564892974699,0.0004188500885051821
19,16,0.08,14,0.7994993776493461,0.9137135744563954,0.0003106342301831247
19,16,0.08,15,0.9375410722653703,1.000043810416395,0.00010351360677179586
19,16,0.09,1,0.0625,1.0,1.0521683030694248e-18
19,16,0.09,2,0.11304304766595887,0.9043443813276709,0.0005311025309063901
19,16,0.09,3,0.15875544356799892,0.8466956990293277,0.0006380909069865454
19,16,0.09,4,0.20342378033300434,0.8136951213320174,0.000681033104525877
19,16,0.09,5,0.24842791609525147,0.7949693315048046,0.0006968209927046777
19,16,0.09,6,0.2949852735318157,0.7866273960848419,0.0006969378329677737
19,16,0.09,7,0.3436620758297224,0.7855133161822228,0.0006857408373587148
19,16,0.09,8,0.3951657319373093,0.7903314638746186,0.00066450633623873
19,16,0.09,9,0.45021080316943834,0.8003747611901126,0.0006343262666303564
19,16,0.09,10,0.5093628533605402,0.8149805653768644,0.0005947161586992068
19,16,0.09,11,0.5738567773598813,0.8347007670689183,0.0005430830777723938
19,16,0.09,12,0.6439360360851278,0.8585813814468372,0.0004787950266405004
19,16,0.09,13,0.7229917020844577,0.889835941027025,0.00039229245952266447
19,16,0.09,14,0.805395271194576,0.9204517385080869,0.0002891633350093095
19,16,0.09,15,0.9375735409191482,1.0000784436470915,9.698920333808934e-05
19,16,0.1,1,0.0625,1.0,9.630014977245583e-19
19,16,0.1,2,0.11389359585060728,0.9111487668048582,0.0005138167664063458
19,16,0.1,3,0.16055734716302558,0.8563058515361365,0.0006191696032879947
19,16,0.1,4,0.20624098117263204,0.8249639246905281,0.0006607885409685078
19,16,0.1,5,0.2522618694886637,0.8072379823637239,0.0006757865659846853
19,16,0.1,6,0.29980437588899717,0.7994783357039924,0.0006741463192609509
19,16,0.1,7,0.3493563859343363,0.798528882135626,0.000662180232696457
19,16,0.1,8,0.4016477652035984,0.8032955304071968,0.00064035654261471
19,16,0.1,9,0.45727151431003815,0.8129271365511789,0.0006095256435132229
19,16,0.1,10,0.5168210800835012,0.826913728133602,0.0005693057229526221
19,16,0.1,11,0.5814380618616971,0.8457280899806503,0.0005179369457935928
19,16,0.1,12,0.6511928220920081,0.8682570961226775,0.0004542890333113663
19,16,0.1,13,0.72962391529067,0.8979986649731324,0.00037010720211513436
19,16,0.1,14,0.8105128181437815,0.9263003635928931,0.0002714558147501684
19,16,0.1,15,0.937587523059306,1.0000933579299265,9.165648115806769e-05
19,16,0.11,1,0.06250000000000003,1.0000000000000004,4.450234194030156e-19
19,16,0.11,2,0.11459043888122494,0.9167235110497995,0.000495175444561433
19,16,0.11,3,0.16214067598356935,0.8647502719123699,0.0006002405617107808
19,16,0.11,4,0.20871360782350076,0.834854431294003,0.0006419779074245878
19,16,0.11,5,0.25562818275356397,0.8180101848114048,0.0006564648802865413
19,16,0.11,6,0.3039656465664765,0.810575057510604,0.0006539439560191565
19,16,0.11,7,0.35429889100651185,0.8098260365863129,0.0006413211318259075
19,16,0.11,8,0.4072421881923182,0.8144843763846364,0.0006186114235852395
19,16,0.11,9,0.4634204272046382,0.8238585372526901,0.0005874351869842054
19,16,0.11,10,0.5233182292050057,0.8373091667280091,0.0005467247757681974
19,16,0.11,11,0.5880088247500838,0.8552855632728492,0.000495602213726665
19,16,0.11,12,0.6574564352099647,0.8766085802799529,0.0004324404606097346
19,16,0.11,13,0.7352339830856441,0.9049033637977159,0.0003508321018787228
19,16,0.11,14,0.8148469351320939,0.9312536401509646,0.00025633234360481014
19,16,0.11,15,0.9375536416009786,1.0000572177077107,8.714025643216373e-05
19,16,0.12,1,0.0625,1.0,8.292512897072586e-19
19,16,0.12,2,0.11522766615776964,0.9218213292621571,0.00047928149333691507
19,16,0.12,3,0.16359829124599218,0.872524219978625,0.0005824499846497419
19,16,0.12,4,0.2109945954173987,0.8439783816695948,0.0006230151544688085
19,16,0.12,5,0.258726086318728,0.8279234762199297,0.0006371535473637602
19,16,0.12,6,0.3078388913708166,0.8209037103221778,0.0006338304848795199
19,16,0.12,7,0.35887363449174414,0.8202825931239865,0.000620301838655517
19,16,0.12,8,0.41237524283760313,0.8247504856752063,0.0005970558899094464
19,16,0.12,9,0.4689891454126509,0.8337584807336016,0.0005655285180843645
19,16,0.12,10,0.5291166446634876,0.8465866314615802,0.0005247418040474893
19,16,0.12,11,0.5938591080854552,0.8637950663061166,0.00047409471163031483
19,16,0.12,12,0.6630265453761923,0.8840353938349231,0.0004114958492038582
19,16,0.12,13,0.7402703441464509,0.911101962026401,0.000332455133937428
19,16,0.12,14,0.8187127176526378,0.9356716773173004,0.00024205311631729534
19,16,0.12,15,0.9375373999265049,1.0000398932549386,8.292691962968965e-05
19,16,0.13,1,0.06250000000000001,1.0,7.778089020082971e-19
19,16,0.13,2,0.11581768605467192,0.9265414884373753,0.0004648028661251334
19,16,0.13,3,0.16495108262876088,0.8797391073533912,0.0005655139289487019
19,16,0.13,4,0.21314359680240416,0.8525743872096165,0.0006059237652620643
19,16,0.13,5,0.26161455976450637,0.8371665912464203,0.0006198530270215062
19,16,0.13,6,0.31142753883870655,0.8304734369032175,0.0006158868351199446
19,16,0.13,7,0.3630673570380963,0.8298682446585057,0.0006019083694223603
19,16,0.13,8,0.41710066882647767,0.8342013376529552,0.0005781520218454242
19,16,0.13,9,0.47412107414132754,0.8428819095845823,0.0005463238786618709
19,16,0.13,10,0.5345033139525758,0.8552053023241214,0.0005051102967512205
19,16,0.13,11,0.5992292629270458,0.8716062006211577,0.0004552167335920637
19,16,0.13,12,0.6681105295833987,0.8908140394445315,0.0003933705342559909
19,16,0.13,13,0.7446754480073843,0.9165236283167806,0.00031685076447118246
19,16,0.13,14,0.8222110619600282,0.9396697850971751,0.00022984399685416473
19,16,0.13,15,0.9375438508613109,1.0000467742520647,7.932097834209812e-05
19,16,0.14,1,0.062499999999999965,0.9999999999999994,7.337154268377585e-19
19,16,0.14,2,0.1163523934747432,0.9308191477979456,0.00045104131052290503
19,16,0.14,3,0.16620112929308786,0.8864060228964687,0.0005505066750680177
19,16,0.14,4,0.2150960421448422,0.8603841685793688,0.0005898916909363826
19,16,0.14,5,0.26426280976988437,0.84564099126363,0.0006042681172072875
19,16,0.14,6,0.3147329631562265,0.8392879017499375,0.0006000027148188012
19,16,0.14,7,0.36694143203823093,0.8387232732302421,0.0005850172494763949
19,16,0.14,8,0.4214273571546943,0.8428547143093886,0.0005605652812854929
19,16,0.14,9,0.47882900687332236,0.8512515677747953,0.0005285579924599736
19,16,0.14,10,0.5394324511843805,0.8630919218950089,0.00048737555602195424
19,16,0.14,11,0.6041763032426838,0.878801895625722,0.00043793729500577985
19,16,0.14,12,0.6727656018797521,0.8970208025063362,0.0003768928577731345
19,16,0.14,13,0.7487902639404199,0.92158801715744,0.0003029792417438982
19,16,0.14,14,0.8253753465631838,0.9432861103579243,0.00021890095368630417
19,16,0.14,15,0.9375471660423915,1.0000503104452176,7.605192356415074e-05
19,16,0.15,1,0.0625,1.0,6.955010816899589e-19
19,16,0.15,2,0.11681456523288059,0.9345165218630447,0.0004375685478265006
