n_tasks,b,alpha,m_star,weight_star,design_risk
19,64,0.01,22,0.11736507108561181,0.3414256613399616
19,64,0.02,21,0.13339580034233753,0.4065395819956953
19,64,0.03,20,0.14222730642797005,0.4551273805695041
19,64,0.04,20,0.15474680408260352,0.4951897730643313
19,64,0.05,20,0.16549774879556026,0.5295927961457929
19,64,0.06,19,0.16605396067747427,0.5593396570188607
19,64,0.07,19,0.1738486989086431,0.5855956173764819
19,64,0.08,19,0.1808242819000031,0.6090923179789579
19,64,0.09,19,0.1872269103817266,0.6306590665489739
19,64,0.1,18,0.18285578910748562,0.6501539168266155
19,64,0.11,18,0.18768078969056165,0.6673094744553304
19,64,0.12,18,0.19214628538670267,0.683186792486054
19,64,0.13,18,0.1963353700049679,0.6980813155732193
19,64,0.14,18,0.20021099888140695,0.7118613293561136
19,64,0.15,18,0.20370467191111832,0.7242832779061984
19,64,0.16,18,0.20695831923200383,0.7358518017137914
19,64,0.17,18,0.2100855518653949,0.7469708510769597
19,64,0.18,18,0.2130597981013644,0.7575459488048514
19,64,0.19,18,0.21579426533955642,0.7672684989850895
19,64,0.2,18,0.21844125774143716,0.7766800275251099
19,64,0.25,17,0.2164833625683173,0.8149961884924887
19,64,0.5,18,0.2564880241554363,0.911957419219329
19,64,1.0,19,0.2874172378625165,0.9681422749053188
30,8,0.01,4,0.3550371042784142,0.7100742085568283
30,8,0.02,4,0.37614631813066907,0.7522926362613381
30,8,0.03,4,0.3904881500128821,0.780976300025764
30,8,0.04,4,0.4014705292844484,0.8029410585688967
30,8,0.05,4,0.41033815869420104,0.8206763173884021
30,8,0.06,4,0.4177641796831488,0.8355283593662975
30,8,0.07,4,0.42411445802566095,0.8482289160513218
30,8,0.08,4,0.42947782376692223,0.8589556475338443
30,8,0.09,4,0.43439040340564516,0.8687808068112903
30,8,0.1,4,0.4386479442505014,0.8772958885010028
30,8,0.11,4,0.44253266503840105,0.8850653300768021
30,8,0.12,4,0.4460688196066913,0.8921376392133826
30,8,0.13,4,0.44912823929930057,0.898256478598601
30,8,0.14,4,0.45196219827983497,0.9039243965596699
30,8,0.15,4,0.454506939408196,0.909013878816392
30,8,0.16,4,0.456825227260821,0.913650454521642
30,8,0.17,4,0.45898040142938945,0.9179608028587789
30,8,0.18,4,0.4610727710854455,0.9221455421708908
30,8,0.19,4,0.4629445452382862,0.9258890904765724
30,8,0.2,4,0.46463562169648565,0.9292712433929713
30,8,0.25,4,0.471794859622263,0.943589719244526
30,8,0.5,4,0.48933391831917217,0.9786678366383443
30,8,1.0,4,0.4991715912708746,0.9983431825417493
30,16,0.01,7,0.24262071515860315,0.5545616346482359
30,16,0.02,7,0.2673414536518531,0.6110661797756642
30,16,0.03,7,0.28481024918284076,0.6509948552750645
30,16,0.04,7,0.29842355558803335,0.6821109842012191
30,16,0.05,7,0.30977746738190504,0.7080627825872114
30,16,0.06,7,0.31950046820361994,0.730286784465417
30,16,0.07,7,0.3277482553111812,0.7491388692826999
30,16,0.08,7,0.33497109967765937,0.7656482278346499
30,16,0.09,7,0.3414066992456332,0.7803581697043044
30,16,0.1,7,0.3472602681255092,0.7937377557154495
30,16,0.11,7,0.3525833964472488,0.8059049061651401
30,16,0.12,7,0.3573105313063488,0.8167097858430831
30,16,0.13,7,0.36162047794655733,0.8265610924492739
30,16,0.14,7,0.36559124276060756,0.83563712630996
30,16,0.15,7,0.36916600041523423,0.8438080009491069
30,16,0.16,7,0.37241970121794843,0.8512450313553106
30,16,0.17,7,0.37548850270062634,0.8582594347442889
30,16,0.18,7,0.3783398733862134,0.8647768534542021
30,16,0.19,7,0.38097294467268766,0.8707953021090005
30,16,0.2,7,0.38341683308502983,0.8763813327657825
30,16,0.25,7,0.3936198365578218,0.8997024835607357
30,16,0.5,7,0.4184839591587719,0.9565347637914786
30,16,1.0,7,0.431567123929982,0.9864391404113875
30,32,0.01,13,0.17133502225745026,0.4217477470952621
30,32,0.02,12,0.18277321994286674,0.487395253180978
30,32,0.03,12,0.20049501375230644,0.5346533700061505
30,32,0.04,12,0.2147150869191394,0.572573565117705
30,32,0.05,12,0.22664926151542322,0.6043980307077952
30,32,0.06,12,0.23700896137773372,0.6320238970072899
30,32,0.07,12,0.24592781130362862,0.6558074968096763
30,32,0.08,11,0.23265846554697195,0.6768246270457366
30,32,0.09,11,0.23911823001890117,0.6956166691458944
30,32,0.1,11,0.24503344725727252,0.7128245738393384
30,32,0.11,11,0.2503930070088629,0.7284160203894194
30,32,0.12,11,0.2551945249803162,0.7423840726700107
30,32,0.13,11,0.2596362740670072,0.7553055245585664
30,32,0.14,11,0.263693986459745,0.7671097787919856
30,32,0.15,11,0.26740027346397627,0.7778917046224764
30,32,0.16,11,0.2708274803382576,0.787861760984022
30,32,0.17,11,0.2740640069929094,0.7972771112521001
30,32,0.18,11,0.2770519415868489,0.8059692846162877
30,32,0.19,11,0.27986062848628096,0.8141400101419084
30,32,0.2,11,0.28242118508019787,0.8215889020514848
30,32,0.25,11,0.29335013503672325,0.8533822110159223
30,32,0.5,11,0.32077689339033766,0.9331691444082548
30,32,1.0,12,0.36631585209136347,0.976842272243636
30,64,0.01,23,0.1157656879658834,0.32213060999202336
30,64,0.02,22,0.13413159120068527,0.3902009925838117
30,64,0.03,21,0.14470501146238512,0.4410057492186975
30,64,0.04,20,0.15072937595066288,0.48233400304212115
30,64,0.05,20,0.16173792532137493,0.5175613610283999
30,64,0.06,20,0.17140482429603968,0.5484954377473269
30,64,0.07,19,0.17083670378264357,0.5754499495836414
30,64,0.08,19,0.17796564928931405,0.5994632397113736
30,64,0.09,19,0.1844420301239998,0.6212784172597888
30,64,0.1,19,0.1904043550266384,0.6413620379844662
30,64,0.11,19,0.19586831793918927,0.6597669656899007
30,64,0.12,18,0.19019086780203837,0.6762341966294697
30,64,0.13,18,0.1944888079370951,0.6915157615541159
30,64,0.14,18,0.19844944848098572,0.7055980390435048
30,64,0.15,18,0.20208172916452932,0.7185128148072155
30,64,0.16,18,0.20544519731394031,0.7304718126717878
30,64,0.17,18,0.20862304416499564,0.7417708236977623
30,64,0.18,18,0.21156434653161335,0.7522287876679584
30,64,0.19,18,0.21436060584439803,0.7621710430023042
30,64,0.2,18,0.2169336119739953,0.7713195092408722
30,64,0.25,18,0.22787218466663678,0.810212212148042
30,64,0.5,18,0.25601645433692366,0.9102807265312843
30,64,1.0,18,0.2720930066053419,0.967441801263438
86,8,0.01,4,0.35160924578110736,0.7032184915622146
86,8,0.02,4,0.3727874249474441,0.7455748498948882
86,8,0.03,4,0.38728129088496516,0.7745625817699303
86,8,0.04,4,0.39827777329362984,0.7965555465872597
86,8,0.05,4,0.4071257385464486,0.8142514770928972
86,8,0.06,4,0.4145635011098538,0.8291270022197076
86,8,0.07,4,0.420996128887126,0.841992257774252
86,8,0.08,4,0.4265655091042503,0.8531310182085006
86,8,0.09,4,0.4315364699258058,0.8630729398516116
86,8,0.1,4,0.4359039974213636,0.8718079948427272
86,8,0.11,4,0.43986074859973984,0.8797214971994797
86,8,0.12,4,0.443397147924492,0.886794295848984
86,8,0.13,4,0.4466546028975118,0.8933092057950236
86,8,0.14,4,0.44961797000524656,0.8992359400104931
86,8,0.15,4,0.45233426030878693,0.9046685206175739
86,8,0.16,4,0.45480212944389437,0.9096042588877887
86,8,0.17,4,0.4570871744011283,0.9141743488022566
86,8,0.18,4,0.4592289927278336,0.9184579854556671
86,8,0.19,4,0.4612307136944681,0.9224614273889362
86,8,0.2,4,0.4630478546161091,0.9260957092322181
86,8,0.25,4,0.4705991021976592,0.9411982043953183
86,8,0.5,4,0.48861211403850296,0.9772242280770059
86,8,1.0,4,0.4990475861387851,0.99809517227757
86,16,0.01,7,0.23630110185818834,0.5401168042472876
86,16,0.02,7,0.261937717753762,0.5987147834371702
86,16,0.03,7,0.2801201594278061,0.6402746501206996
86,16,0.04,7,0.2943051670857015,0.6726975247673177
86,16,0.05,7,0.30593389250884095,0.6992774685916365
86,16,0.06,7,0.3157840293010568,0.7217920669738441
86,16,0.07,7,0.3243757032283651,0.7414301788076917
86,16,0.08,7,0.3319259974613509,0.7586879941973734
86,16,0.09,7,0.3385825800237355,0.7739030400542526
86,16,0.1,7,0.34455038803520394,0.7875437440804661
86,16,0.11,7,0.34990916081293566,0.7997923675724243
86,16,0.12,7,0.35473518235780965,0.8108232739607079
86,16,0.13,7,0.3591585109902316,0.8209337394062436
86,16,0.14,7,0.36320056404535456,0.8301727178179533
86,16,0.15,7,0.3669535803436718,0.8387510407855355
86,16,0.16,7,0.37039990771854725,0.8466283604995365
86,16,0.17,7,0.3735930812891214,0.8539270429465632
86,16,0.18,7,0.3765486996429868,0.8606827420411126
86,16,0.19,7,0.379297308404842,0.8669652763539247
86,16,0.2,7,0.3818979153178008,0.8729095207264018
86,16,0.25,7,0.39241367914092756,0.89694555232212
86,16,0.5,7,0.41772162387446454,0.9547922831416333
86,16,1.0,7,0.4312976927750077,0.9858232977714462
86,32,0.01,13,0.1635540575433131,0.40259460318353996
86,32,0.02,13,0.19139255720772094,0.47112014081900544
86,32,0.03,12,0.19528688024962657,0.5207650139990042
86,32,0.04,12,0.20996551764036978,0.5599080470409862
86,32,0.05,12,0.22225041277491597,0.5926677673997759
86,32,0.06,12,0.2328351854953552,0.6208938279876138
86,32,0.07,12,0.24207053328773367,0.6455214221006231
86,32,0.08,11,0.22942779818259793,0.6674263219857395
86,32,0.09,11,0.23608371421086233,0.6867889867952359
86,32,0.1,11,0.24211792088514825,0.7043430425749767
86,32,0.11,11,0.2475404431870443,0.7201176529077651
86,32,0.12,11,0.2524592015477772,0.7344267681389881
86,32,0.13,11,0.2570272349728352,0.7477155926482478
86,32,0.14,11,0.26117845154175806,0.759791859030569
86,32,0.15,11,0.2650794516316897,0.771140222928552
86,32,0.16,11,0.26866427469248844,0.7815687991054209
86,32,0.17,11,0.2720245824798904,0.7913442399414994
86,32,0.18,11,0.27515475928467265,0.8004502088281387
86,32,0.19,11,0.27806711148492247,0.8089225061379565
86,32,0.2,11,0.2807954623285552,0.8168595267739784
86,32,0.25,11,0.2920912735937988,0.8497200686365055
86,32,0.5,11,0.32002205981403725,0.9309732649135629
86,32,1.0,12,0.36604540138436364,0.9761210703583031
86,64,0.01,24,0.1123439172835996,0.29958377942293224
86,64,0.02,22,0.12755244393592688,0.37106165508633276
86,64,0.03,21,0.13919273086233,0.42420641786614854
86,64,0.04,21,0.15331534724868157,0.4672467725674105
86,64,0.05,20,0.15739549030780892,0.5036655689849886
86,64,0.06,20,0.16731483430929842,0.5354074697897548
86,64,0.07,19,0.16723722634745647,0.5633253940124848
86,64,0.08,19,0.1746836435429408,0.5884080624604322
86,64,0.09,19,0.18135078449537922,0.610865800405488
86,64,0.1,19,0.18744176694602022,0.6313827939234365
86,64,0.11,18,0.18279754171945814,0.6499468150025177
86,64,0.12,18,0.18754298054815383,0.6668194863934358
86,64,0.13,18,0.19196269827187482,0.6825340382999993
86,64,0.14,18,0.19600893734865643,0.6969206661285561
86,64,0.15,18,0.19981081174238324,0.710438441750696
86,64,0.16,18,0.20332481904080607,0.7229326899228661
86,64,0.17,18,0.20664336094201494,0.7347319500160531
86,64,0.18,18,0.2097397382659133,0.7457412916121361
86,64,0.19,18,0.21263119583222753,0.7560220296256979
86,64,0.2,18,0.2153395310044981,0.765651665793771
86,64,0.25,18,0.22666356320855421,0.8059148914081927
86,64,0.5,17,0.24115577609991917,0.9078805688467545
86,64,1.0,19,0.2869785145313075,0.9666644700001936
93,8,0.01,4,0.35166265533778507,0.7033253106755701
93,8,0.02,4,0.3728490027760003,0.7456980055520006
93,8,0.03,4,0.38741057786954364,0.7748211557390873
93,8,0.04,4,0.39827953954683243,0.7965590790936649
93,8,0.05,4,0.40720486644995135,0.8144097328999027
93,8,0.06,4,0.4146378541223949,0.8292757082447898
93,8,0.07,4,0.42101354420020926,0.8420270884004185
93,8,0.08,4,0.4265925019719832,0.8531850039439663
93,8,0.09,4,0.4315555124324605,0.863111024864921
93,8,0.1,4,0.43591110619167134,0.8718222123833427
93,8,0.11,4,0.4398381083216356,0.8796762166432712
93,8,0.12,4,0.44338424877699645,0.8867684975539929
93,8,0.13,4,0.4466239543807842,0.8932479087615685
93,8,0.14,4,0.4495829723505438,0.8991659447010876
93,8,0.15,4,0.4522675192720998,0.9045350385441996
93,8,0.16,4,0.45472364196314213,0.9094472839262843
93,8,0.17,4,0.4570248746640549,0.9140497493281098
93,8,0.18,4,0.45919679965305016,0.9183935993061003
93,8,0.19,4,0.4611779762809572,0.9223559525619144
93,8,0.2,4,0.4629850654275018,0.9259701308550036
93,8,0.25,4,0.4704935159365232,0.9409870318730464
93,8,0.5,4,0.48858161868826533,0.9771632373765307
93,8,1.0,4,0.49903192369136595,0.9980638473827319
93,16,0.01,7,0.23628595432663618,0.5400821813180255
93,16,0.02,7,0.2619289335412047,0.5986947052370395
93,16,0.03,7,0.2802730115200919,0.6406240263316385
93,16,0.04,7,0.2943954517636146,0.6729038897454047
93,16,0.05,7,0.3061007778543018,0.6996589208098326
93,16,0.06,7,0.31593773357738447,0.7221433910340218
93,16,0.07,7,0.32447251487930034,0.741651462581258
93,16,0.08,7,0.33200697097725373,0.7588730765194369
93,16,0.09,7,0.3386728246639075,0.774109313517503
93,16,0.1,7,0.34462050377898734,0.7877040086376853
93,16,0.11,7,0.34997998845640443,0.7999542593289244
93,16,0.12,7,0.35484744570981613,0.8110798759081511
93,16,0.13,7,0.35926512122966964,0.8211774199535307
93,16,0.14,7,0.3633428826728369,0.8304980175379129
93,16,0.15,7,0.36701537319731575,0.8388922815938644
93,16,0.16,7,0.3704222055216268,0.8466793269065754
93,16,0.17,7,0.37362439369471967,0.8539986141593592
93,16,0.18,7,0.3766034706385523,0.8608079328881196
93,16,0.19,7,0.3793361312092161,0.8670540141924942
93,16,0.2,7,0.3819207341869445,0.8729616781415873
93,16,0.25,7,0.39233618247998847,0.8967684170971165
93,16,0.5,7,0.41768695734901623,0.95471304536918
93,16,1.0,7,0.43128222725836735,0.9857879480191253
93,32,0.01,13,0.16335544756507264,0.40210571708325565
93,32,0.02,13,0.19122675373475923,0.47071200919325346
93,32,0.03,12,0.19535414234999068,0.5209443795999751
93,32,0.04,12,0.2100562650002315,0.5601500400006174
93,32,0.05,12,0.22239028320723742,0.5930407552192997
93,32,0.06,12,0.23292290779508698,0.621127754120232
93,32,0.07,12,0.24213218341948972,0.6456858224519727
93,32,0.08,11,0.22943497951864866,0.6674472131451598
93,32,0.09,11,0.23608663997626675,0.686797498112776
93,32,0.1,11,0.24208343724867606,0.704242726541603
93,32,0.11,11,0.24752138630495768,0.7200622147053315
93,32,0.12,11,0.2524582863312799,0.734424105690996
93,32,0.13,11,0.257013716863604,0.7476762672395754
93,32,0.14,11,0.26122438575477475,0.759925485832072
93,32,0.15,11,0.26506009926152263,0.7710839251244295
93,32,0.16,11,0.26860219833889454,0.7813882133495114
93,32,0.17,11,0.27194571282371355,0.7911148009417123
93,32,0.18,11,0.27508833896321955,0.8002569860748205
93,32,0.19,11,0.27798550920530457,0.8086851176881588
93,32,0.2,11,0.28068257123349233,0.8165311163156141
93,32,0.25,11,0.29190897804249605,0.8491897543054431
93,32,0.5,11,0.3199706502330722,0.9308237097689375
93,32,1.0,12,0.3660352238336325,0.9760939302230202
93,64,0.01,24,0.11223667316714658,0.29929779511239085
93,64,0.02,22,0.12740213083430416,0.37062438060888486
93,64,0.03,21,0.13923815549988644,0.42434485485679685
93,64,0.04,21,0.15340785030333048,0.46752868663872144
93,64,0.05,20,0.1574999725894033,0.5039999122860905
93,64,0.06,20,0.16737779987647125,0.5356089596047081
93,64,0.07,19,0.16727131587980013,0.5634402219109057
93,64,0.08,19,0.17469433668269815,0.5884440814575096
93,64,0.09,19,0.18137857713191063,0.6109594177074885
93,64,0.1,19,0.18743520514202014,0.6313606910046994
93,64,0.11,19,0.19295423562849207,0.649951109485447
93,64,0.12,18,0.1875643153430206,0.666895343441851
93,64,0.13,18,0.19199018251117056,0.6826317600397176
93,64,0.14,18,0.19610188840026171,0.697251158756486
93,64,0.15,18,0.1998581546506773,0.7106067720912971
93,64,0.16,18,0.2033335166844037,0.7229636148778799
93,64,0.17,18,0.20662266097444118,0.7346583501313465
93,64,0.18,18,0.20972078416250745,0.7456738992444709
93,64,0.19,18,0.21259818478846632,0.7559046570256581
93,64,0.2,18,0.2152797250127841,0.7654390222676769
93,64,0.25,17,0.21394491476280605,0.8054396791070344
93,64,0.5,18,0.25527902804424635,0.9076587663795428
93,64,1.0,19,0.28692317995813016,0.9664780798589648
100,8,0.01,4,0.3518107388469186,0.7036214776938372
100,8,0.02,4,0.3729087491299242,0.7458174982598484
100,8,0.03,4,0.3873392020140214,0.7746784040280427
100,8,0.04,4,0.3982965671388033,0.7965931342776066
100,8,0.05,4,0.40716267560207814,0.8143253512041563
100,8,0.06,4,0.4146086842174118,0.8292173684348236
100,8,0.07,4,0.42102688704298696,0.8420537740859739
100,8,0.08,4,0.4265433527749715,0.8530867055499429
100,8,0.09,4,0.43153356507281004,0.8630671301456201
100,8,0.1,4,0.43585051071142883,0.8717010214228577
100,8,0.11,4,0.43983613709376107,0.8796722741875221
100,8,0.12,4,0.4434057338126923,0.8868114676253847
100,8,0.13,4,0.44668011128770607,0.8933602225754121
100,8,0.14,4,0.44961261483051346,0.8992252296610269
100,8,0.15,4,0.45234070911888163,0.9046814182377633
100,8,0.16,4,0.45476296262811755,0.9095259252562351
100,8,0.17,4,0.4570350280574504,0.9140700561149008
100,8,0.18,4,0.45918610129052423,0.9183722025810485
100,8,0.19,4,0.46118373413602787,0.9223674682720557
100,8,0.2,4,0.46302716753382533,0.9260543350676507
100,8,0.25,4,0.4705527993296821,0.9411055986593642
100,8,0.5,4,0.48860926860901827,0.9772185372180365
100,8,1.0,4,0.49906215270985815,0.9981243054197163
100,16,0.01,7,0.23628977416306715,0.5400909123727249
100,16,0.02,7,0.26184376567110734,0.598500035819674
100,16,0.03,7,0.280177300575754,0.6404052584588662
100,16,0.04,7,0.29436345924945023,0.6728307639987433
100,16,0.05,7,0.306064172764591,0.6995752520333509
100,16,0.06,7,0.31589356497817955,0.7220424342358389
100,16,0.07,7,0.3244613069932791,0.7416258445560665
100,16,0.08,7,0.3319051037325721,0.758640237103022
100,16,0.09,7,0.33858733435965227,0.7739139071077767
100,16,0.1,7,0.3445122430532424,0.7874565555502682
100,16,0.11,7,0.349937356428874,0.799856814694569
100,16,0.12,7,0.3548179142787845,0.8110123754943646
100,16,0.13,7,0.3592801511772745,0.8212117741194848
100,16,0.14,7,0.363318999003511,0.8304434262937395
100,16,0.15,7,0.36706497126296134,0.8390056486010545
100,16,0.16,7,0.37047098563055686,0.8467908242984157
100,16,0.17,7,0.3736436631989387,0.8540426587404313
100,16,0.18,7,0.3765802666318297,0.8607548951584679
100,16,0.19,7,0.3793336499473241,0.8670483427367408
100,16,0.2,7,0.3819609695517278,0.8730536446896636
100,16,0.25,7,0.3924509698623439,0.8970307882567861
100,16,0.5,7,0.41777230250260167,0.9549081200059468
100,16,1.0,7,0.4313348799964904,0.9859082971348352
100,32,0.01,13,0.16331863921516887,0.40201511191426176
100,32,0.02,13,0.19117316803837872,0.47058010594062455
100,32,0.03,12,0.19532033602724266,0.5208542294059804
100,32,0.04,12,0.21006655991768375,0.5601774931138234
100,32,0.05,12,0.2224088547866082,0.5930902794309552
100,32,0.06,12,0.23292618850682478,0.6211365026848661
100,32,0.07,12,0.2421684647839516,0.6457825727572043
100,32,0.08,11,0.22940237823590381,0.667352373049902
100,32,0.09,11,0.23606821693167498,0.6867439038012363
100,32,0.1,11,0.24203955023336782,0.7041150552243427
100,32,0.11,11,0.2475233791865648,0.7200680121790975
100,32,0.12,11,0.25250353018213567,0.734555724166213
100,32,0.13,11,0.25708872381447334,0.7478944692784678
100,32,0.14,11,0.2612521846706295,0.7600063554054675
100,32,0.15,11,0.26516421637044846,0.7713868112594864
100,32,0.16,11,0.26871589382988714,0.7817189638687626
100,32,0.17,11,0.27204601879033863,0.7914066001173489
100,32,0.18,11,0.27515252669439794,0.8004437140200669
100,32,0.19,11,0.2780647877567887,0.8089157462015673
100,32,0.2,11,0.280801515481934,0.8168771359474444
100,32,0.25,11,0.2920737898247331,0.8496692067628598
100,32,0.5,11,0.32007058452606685,0.9311144277121945
100,32,1.0,12,0.3660849592342544,0.9762265579580116
100,64,0.01,24,0.11209243147602416,0.29891315060273116
100,64,0.02,22,0.12729563242760258,0.37031456706211663
100,64,0.03,21,0.13919871578329027,0.4242246576252656
100,64,0.04,21,0.1534139678559182,0.46754733060851267
100,64,0.05,20,0.1575223382354886,0.5040714823535635
100,64,0.06,20,0.16737999788761512,0.5356159932403683
100,64,0.07,19,0.16730181570323532,0.5635429581582663
100,64,0.08,19,0.17463686171465492,0.5882504815651534
100,64,0.09,19,0.1813104262409062,0.6107298568114735
100,64,0.1,19,0.1873545346831091,0.631088958932578
100,64,0.11,19,0.19291853522139193,0.6498308554825833
100,64,0.12,18,0.18757822612024452,0.6669448039830915
100,64,0.13,18,0.1920068396360049,0.6826909853724619
100,64,0.14,18,0.19605368026396372,0.6970797520496488
100,64,0.15,18,0.19988090652002416,0.7106876676267525
100,64,0.16,18,0.20336095507377216,0.7230611735956344
100,64,0.17,18,0.2066445244195467,0.734736086825055
100,64,0.18,18,0.20972934723425352,0.7457043457217903
100,64,0.19,18,0.21261093693782415,0.7559499980011526
100,64,0.2,18,0.21533343026022161,0.7656299742585658
100,64,0.25,17,0.21404633056982372,0.8058214797922775
100,64,0.5,18,0.2553799384411593,0.9080175589018996
100,64,1.0,19,0.28699497296633136,0.9667199089392216
