profile,model,budget,strategy,time_seconds,useful_eflop,wasted_eflop,accepted_rollouts,extra_rollouts
aime24__model=qwen3_5_27b,qwen3_5_27b,8,hbn-async,899.726248867,0.15570138573290598,0.013978503116042238,240,39
aime24__model=qwen3_5_27b,qwen3_5_27b,16,uniform,1183.66566568,0.3041536298820854,0,480,0
aime24__model=qwen3_5_27b,qwen3_5_27b,16,hbn-sync,1399.536773961,0.3191273003936041,0.0,480,0
aime24__model=qwen3_5_27b,qwen3_5_27b,16,hbn-async,1206.390352676,0.31584860986384383,0.003070953754338304,480,28
aime24__model=qwen3_5_27b,qwen3_5_27b,32,uniform,2027.211939172,0.6058595051549799,0,960,0
aime24__model=qwen3_5_27b,qwen3_5_27b,32,hbn-sync,2459.302226409,0.6387913120229591,0.0,960,0
aime24__model=qwen3_5_27b,qwen3_5_27b,32,hbn-async,2114.363955066,0.6396871817386927,0.0,960,0
aime24__model=qwen3_5_27b,qwen3_5_27b,64,uniform,3969.542496692,1.2281528121129799,0,1920,0
aime24__model=qwen3_5_27b,qwen3_5_27b,64,hbn-sync,4441.188495501,1.2966879750190787,0.0,1920,0
aime24__model=qwen3_5_27b,qwen3_5_27b,64,hbn-async,4246.540680451,1.2958213059780301,0.0,1920,0
aime24__model=qwen3_5_4b,qwen3_5_4b,8,uniform,241.483957674,0.029355777885288446,0,240,0
aime24__model=qwen3_5_4b,qwen3_5_4b,8,hbn-sync,315.712718656,0.02916041328901939,0.0,240,0
aime24__model=qwen3_5_4b,qwen3_5_4b,8,hbn-async,324.073378235,0.028606020595183617,0.003585056521897984,240,49
aime24__model=qwen3_5_4b,qwen3_5_4b,16,uniform,496.690627487,0.058107410775617534,0,480,0
aime24__model=qwen3_5_4b,qwen3_5_4b,16,hbn-sync,540.916149958,0.05881505747390669,0.0,480,0
aime24__model=qwen3_5_4b,qwen3_5_4b,16,hbn-async,476.205378538,0.059095072994512894,0.000410071019933696,480,23
aime24__model=qwen3_5_4b,qwen3_5_4b,32,uniform,851.053678495,0.1140906820260352,0,960,0
aime24__model=qwen3_5_4b,qwen3_5_4b,32,hbn-sync,956.616335498,0.11737470098092646,0.0,960,0
aime24__model=qwen3_5_4b,qwen3_5_4b,32,hbn-async,864.696716509,0.11729761054618829,0.0,960,0
aime24__model=qwen3_5_4b,qwen3_5_4b,64,uniform,1645.094381794,0.2326687369375662,0,1920,0
aime24__model=qwen3_5_4b,qwen3_5_4b,64,hbn-sync,1801.289877336,0.24136800899676775,0.0,1920,0
aime24__model=qwen3_5_4b,qwen3_5_4b,64,hbn-async,1768.050999625,0.2435548618569257,0.0,1920,0
aime24__model=qwen3_5_9b,qwen3_5_9b,8,uniform,276.877400626,0.05233322132333568,0,240,0
aime24__model=qwen3_5_9b,qwen3_5_9b,8,hbn-sync,389.147390657,0.05152365003109376,0.0,240,0
aime24__model=qwen3_5_9b,qwen3_5_9b,8,hbn-async,387.800395305,0.05371720531805184,0.004615675977355264,240,32
aime24__model=qwen3_5_9b,qwen3_5_9b,16,uniform,542.998148761,0.10355792534247117,0,480,0
aime24__model=qwen3_5_9b,qwen3_5_9b,16,hbn-sync,620.796251519,0.10438421049016013,0.0,480,0
aime24__model=qwen3_5_9b,qwen3_5_9b,16,hbn-async,541.839987035,0.10559333824456908,0.000257718352094208,480,12
aime24__model=qwen3_5_9b,qwen3_5_9b,32,uniform,993.70226264,0.20914239896683418,0,960,0
aime24__model=qwen3_5_9b,qwen3_5_9b,32,hbn-sync,1092.413807636,0.21060161696482305,0.0,960,0
aime24__model=qwen3_5_9b,qwen3_5_9b,32,hbn-async,1002.285876354,0.21053982543686145,0.0,960,0
aime24__model=qwen3_5_9b,qwen3_5_9b,64,uniform,1883.794979447,0.4188566610185656,0,1920,0
aime24__model=qwen3_5_9b,qwen3_5_9b,64,hbn-sync,1961.341791208,0.416984327196286,0.0,1920,0
aime24__model=qwen3_5_9b,qwen3_5_9b,64,hbn-async,1896.367402899,0.4211445626648248,0.0,1920,0
aime25__model=qwen2_5_32b,qwen2_5_32b,8,uniform,55.968776991,0.016625226934853632,0,240,0
aime25__model=qwen2_5_32b,qwen2_5_32b,8,hbn-sync,421.109348615,0.017477190267262976,0.0,240,0
aime25__model=qwen2_5_32b,qwen2_5_32b,8,hbn-async,61.537162023,0.016284459899860992,0.002711667151931392,240,40
aime25__model=qwen2_5_32b,qwen2_5_32b,16,uniform,428.132331402,0.037537616749019134,0,480,0
aime25__model=qwen2_5_32b,qwen2_5_32b,16,hbn-sync,779.257988429,0.0374647173983191,0.0,480,0
aime25__model=qwen2_5_32b,qwen2_5_32b,16,hbn-async,411.528758888,0.03385783890431181,0.000727822940280832,480,17
aime25__model=qwen2_5_32b,qwen2_5_32b,32,uniform,478.572527313,0.07349306200526644,0,960,0
aime25__model=qwen2_5_32b,qwen2_5_32b,32,hbn-sync,835.454817677,0.07043088151867596,0.0,960,0
aime25__model=qwen2_5_32b,qwen2_5_32b,32,hbn-async,829.756192657,0.07564820192058777,0.000134827206293504,960,2
aime25__model=qwen2_5_32b,qwen2_5_32b,64,uniform,666.203156436,0.15046011963582054,0,1920,0
aime25__model=qwen2_5_32b,qwen2_5_32b,64,hbn-sync,932.457250462,0.14511726724507237,0.0,1920,0
aime25__model=qwen2_5_32b,qwen2_5_32b,64,hbn-async,661.76926031,0.14475188766774683,0.000887246006321152,1920,2
aime25__model=qwen2_5_3b,qwen2_5_3b,8,uniform,70.045911762,0.002047727096168448,0,240,0
aime25__model=qwen2_5_3b,qwen2_5_3b,8,hbn-sync,72.888226262,0.001754530989850624,0.0,240,0
aime25__model=qwen2_5_3b,qwen2_5_3b,8,hbn-async,74.271374067,0.002435098738925568,0.000187045201403904,240,29
aime25__model=qwen2_5_3b,qwen2_5_3b,16,uniform,76.668387371,0.004669171697934336,0,480,0
aime25__model=qwen2_5_3b,qwen2_5_3b,16,hbn-sync,145.262736985,0.005149437569753088,0.0,480,0
aime25__model=qwen2_5_3b,qwen2_5_3b,16,hbn-async,76.294949497,0.004081514908106752,0.000281874913271808,480,21
aime25__model=qwen2_5_3b,qwen2_5_3b,32,uniform,84.294162203,0.007861123131154432,0,960,0
aime25__model=qwen2_5_3b,qwen2_5_3b,32,hbn-sync,152.453218687,0.009307138855673856,0.0,960,0
aime25__model=qwen2_5_3b,qwen2_5_3b,32,hbn-async,90.964772848,0.008987669931040767,1.821635252224e-05,960,3
aime25__model=qwen2_5_3b,qwen2_5_3b,64,uniform,111.90624837,0.016716165110407168,0,1920,0
aime25__model=qwen2_5_3b,qwen2_5_3b,64,hbn-sync,173.320117376,0.017074248411185152,0.0,1920,0
aime25__model=qwen2_5_3b,qwen2_5_3b,64,hbn-async,110.215147675,0.016509142185926657,9.246060961792e-05,1920,14
aime25__model=qwen2_5_7b,qwen2_5_7b,8,uniform,110.091269421,0.004342407692392448,0,240,0
aime25__model=qwen2_5_7b,qwen2_5_7b,8,hbn-sync,123.819175859,0.004398390797043712,0.0,240,0
aime25__model=qwen2_5_7b,qwen2_5_7b,8,hbn-async,102.595890853,0.004278976476665856,0.000655279088049152,240,42
aime25__model=qwen2_5_7b,qwen2_5_7b,16,uniform,114.388014263,0.008749627758434304,0,480,0
aime25__model=qwen2_5_7b,qwen2_5_7b,16,hbn-sync,197.02104724,0.008559322470300673,0.0,480,0
aime25__model=qwen2_5_7b,qwen2_5_7b,16,hbn-async,104.239643733,0.008201236617140223,0.000182886963796992,480,10
aime25__model=qwen2_5_7b,qwen2_5_7b,32,uniform,135.656554811,0.017690377897342974,0,960,0
aime25__model=qwen2_5_7b,qwen2_5_7b,32,hbn-sync,211.510000934,0.01715677912987853,0.0,960,0
aime25__model=qwen2_5_7b,qwen2_5_7b,32,hbn-async,125.204114804,0.017394150617460736,9.8299764011008e-05,960,6
aime25__model=qwen2_5_7b,qwen2_5_7b,64,uniform,168.280220237,0.03547474362406195,0,1920,0
aime25__model=qwen2_5_7b,qwen2_5_7b,64,hbn-sync,257.789639433,0.03421340540396441,0.0,1920,0
aime25__model=qwen2_5_7b,qwen2_5_7b,64,hbn-async,156.390340833,0.032664091381684225,3.1321651293184e-05,1920,2
aime25__model=qwen3_5_27b,qwen3_5_27b,8,uniform,598.248895622,0.1672181133914788,0,240,0
aime25__model=qwen3_5_27b,qwen3_5_27b,8,hbn-sync,955.516688875,0.16819218088589413,0.0,240,0
aime25__model=qwen3_5_27b,qwen3_5_27b,8,hbn-async,924.681411937,0.1673613122980741,0.015216765594615808,240,38
aime25__model=qwen3_5_27b,qwen3_5_27b,16,uniform,1217.759486123,0.3277576629403904,0,480,0
aime25__model=qwen3_5_27b,qwen3_5_27b,16,hbn-sync,1486.938249543,0.3408413194997238,0.0,480,0
aime25__model=qwen3_5_27b,qwen3_5_27b,16,hbn-async,1279.375878854,0.33748515005244106,0.000488885301788672,480,11
aime25__model=qwen3_5_27b,qwen3_5_27b,32,uniform,2209.535876982,0.6560615536351242,0,960,0
aime25__model=qwen3_5_27b,qwen3_5_27b,32,hbn-sync,2529.529388504,0.6794161860179078,0.0,960,0
aime25__model=qwen3_5_27b,qwen3_5_27b,32,hbn-async,2335.274873149,0.681482379108649,0.0,960,0
aime25__model=qwen3_5_27b,qwen3_5_27b,64,uniform,4344.741342384,1.3283293235458786,0,1920,0
aime25__model=qwen3_5_27b,qwen3_5_27b,64,hbn-sync,4800.678992569,1.381384382986837,0.0,1920,0
aime25__model=qwen3_5_27b,qwen3_5_27b,64,hbn-async,4566.511542278,1.3805332086955182,0.0,1920,0
aime25__model=qwen3_5_4b,qwen3_5_4b,8,uniform,267.222947463,0.03049962661146624,0,240,0
aime25__model=qwen3_5_4b,qwen3_5_4b,8,hbn-sync,348.782791956,0.03022144085803827,0.0,240,0
aime25__model=qwen3_5_4b,qwen3_5_4b,8,hbn-async,309.067418587,0.030628351486691328,0.002063909698004992,240,28
aime25__model=qwen3_5_4b,qwen3_5_4b,16,uniform,517.345416441,0.06146924296715674,0,480,0
aime25__model=qwen3_5_4b,qwen3_5_4b,16,hbn-sync,569.370870743,0.06052414020513178,0.0,480,0
aime25__model=qwen3_5_4b,qwen3_5_4b,16,hbn-async,471.98446998,0.0607124591781376,7.6658099286016e-05,480,6
aime25__model=qwen3_5_4b,qwen3_5_4b,32,uniform,920.973876899,0.12284896220247654,0,960,0
aime25__model=qwen3_5_4b,qwen3_5_4b,32,hbn-sync,1022.124386818,0.12213739304195277,0.0,960,0
aime25__model=qwen3_5_4b,qwen3_5_4b,32,hbn-async,896.854777191,0.12079197318130279,0.0,960,0
aime25__model=qwen3_5_4b,qwen3_5_4b,64,uniform,1760.883683973,0.24412929634581298,0,1920,0
aime25__model=qwen3_5_4b,qwen3_5_4b,64,hbn-sync,1776.672588306,0.23849858719212544,0.0,1920,0
aime25__model=qwen3_5_4b,qwen3_5_4b,64,hbn-async,1712.626662751,0.2390970152451154,0.0,1920,0
aime25__model=qwen3_5_9b,qwen3_5_9b,8,uniform,274.619876691,0.0541200565041623,0,240,0
aime25__model=qwen3_5_9b,qwen3_5_9b,8,hbn-sync,410.708276761,0.05526011087187968,0.0,240,0
aime25__model=qwen3_5_9b,qwen3_5_9b,8,hbn-async,392.824755065,0.0545629766749481,0.005919398622089216,240,39
aime25__model=qwen3_5_9b,qwen3_5_9b,16,uniform,583.073889985,0.10996747233141657,0,480,0
aime25__model=qwen3_5_9b,qwen3_5_9b,16,hbn-sync,638.371193065,0.10894587760419021,0.0,480,0
aime25__model=qwen3_5_9b,qwen3_5_9b,16,hbn-async,543.949249853,0.10672633776116838,0.000621281343859712,480,23
aime25__model=qwen3_5_9b,qwen3_5_9b,32,uniform,1034.422710073,0.21844302554104114,0,960,0
aime25__model=qwen3_5_9b,qwen3_5_9b,32,hbn-sync,1142.951392555,0.21707136676739994,0.0,960,0
aime25__model=qwen3_5_9b,qwen3_5_9b,32,hbn-async,1037.325686048,0.2169174232438272,0.0,960,0
aime25__model=qwen3_5_9b,qwen3_5_9b,64,uniform,2015.225994031,0.43875971235986844,0,1920,0
aime25__model=qwen3_5_9b,qwen3_5_9b,64,hbn-sync,2095.079129877,0.43935599411160986,0.0,1920,0
aime25__model=qwen3_5_9b,qwen3_5_9b,64,hbn-async,1998.409318422,0.43918956996819764,0.0,1920,0
aime26__model=qwen2_5_32b,qwen2_5_32b,8,uniform,393.630623774,0.01943249481033728,0,240,0
aime26__model=qwen2_5_32b,qwen2_5_32b,8,hbn-sync,824.379687644,0.028193130209654783,0.0,240,0
aime26__model=qwen2_5_32b,qwen2_5_32b,8,hbn-async,406.815090326,0.021101516258369535,0.003781301994262528,240,53
aime26__model=qwen2_5_32b,qwen2_5_32b,16,uniform,470.713427821,0.0437239286283264,0,480,0
aime26__model=qwen2_5_32b,qwen2_5_32b,16,hbn-sync,834.555994222,0.04175580491507507,0.0,480,0
aime26__model=qwen2_5_32b,qwen2_5_32b,16,hbn-async,466.320203665,0.04310834346801152,0.00218497147638784,480,13
aime26__model=qwen2_5_32b,qwen2_5_32b,32,uniform,545.884634211,0.07878483984749977,0,960,0
aime26__model=qwen2_5_32b,qwen2_5_32b,32,hbn-sync,924.336430856,0.07734318688165273,0.0,960,0
aime26__model=qwen2_5_32b,qwen2_5_32b,32,hbn-async,552.677063161,0.08146845414684467,0.001279386178973696,960,3
aime26__model=qwen2_5_32b,qwen2_5_32b,64,uniform,703.532761122,0.15212859669527756,0,1920,0
aime26__model=qwen2_5_32b,qwen2_5_32b,64,hbn-sync,1025.725065571,0.16235448744421171,0.0,1920,0
aime26__model=qwen2_5_32b,qwen2_5_32b,64,hbn-async,914.972773466,0.16001764433546445,0.004739191893997568,1920,68
aime26__model=qwen2_5_3b,qwen2_5_3b,8,uniform,74.025152497,0.00293752395030528,0,240,0
aime26__model=qwen2_5_3b,qwen2_5_3b,8,hbn-sync,134.282673152,0.002962602594533376,0.0,240,0
aime26__model=qwen2_5_3b,qwen2_5_3b,8,hbn-async,76.052650516,0.003048814707458048,0.000317757829054464,240,25
aime26__model=qwen2_5_3b,qwen2_5_3b,16,uniform,89.420103045,0.006104566625665024,0,480,0
aime26__model=qwen2_5_3b,qwen2_5_3b,16,hbn-sync,153.111007501,0.006399906301648896,0.0,480,0
aime26__model=qwen2_5_3b,qwen2_5_3b,16,hbn-async,88.282453483,0.005639451209515008,0.000209638561390592,480,10
aime26__model=qwen2_5_3b,qwen2_5_3b,32,uniform,102.451963757,0.011107323639611392,0,960,0
aime26__model=qwen2_5_3b,qwen2_5_3b,32,hbn-sync,161.355594305,0.011080085467963392,0.0,960,0
aime26__model=qwen2_5_3b,qwen2_5_3b,32,hbn-async,96.294242377,0.011348289036238848,0.000203314991112192,960,8
aime26__model=qwen2_5_3b,qwen2_5_3b,64,uniform,151.666315119,0.024180616013111295,0,1920,0
aime26__model=qwen2_5_3b,qwen2_5_3b,64,hbn-sync,203.777194628,0.022933003400617984,0.0,1920,0
aime26__model=qwen2_5_3b,qwen2_5_3b,64,hbn-async,141.660171282,0.022912593291984897,0.000145274293116928,1920,10
aime26__model=qwen2_5_7b,qwen2_5_7b,8,uniform,106.613839704,0.005421105278733312,0,240,0
aime26__model=qwen2_5_7b,qwen2_5_7b,8,hbn-sync,203.491923313,0.005615988141596672,0.0,240,0
aime26__model=qwen2_5_7b,qwen2_5_7b,8,hbn-async,114.659553639,0.006221294101449728,0.001001920254999552,240,41
aime26__model=qwen2_5_7b,qwen2_5_7b,16,uniform,142.49181276,0.01154890173523968,0,480,0
aime26__model=qwen2_5_7b,qwen2_5_7b,16,hbn-sync,218.224256067,0.011179172740420608,0.0,480,0
aime26__model=qwen2_5_7b,qwen2_5_7b,16,hbn-async,118.198433553,0.010317416023032832,0.000406663150337024,480,20
aime26__model=qwen2_5_7b,qwen2_5_7b,32,uniform,136.874995115,0.021842683067885567,0,960,0
aime26__model=qwen2_5_7b,qwen2_5_7b,32,hbn-sync,230.03768104,0.021452471141549054,0.0,960,0
aime26__model=qwen2_5_7b,qwen2_5_7b,32,hbn-async,148.777338626,0.02122753083151053,0.0006564079596032,960,12
aime26__model=qwen2_5_7b,qwen2_5_7b,64,uniform,220.958652141,0.04205537792369357,0,1920,0
aime26__model=qwen2_5_7b,qwen2_5_7b,64,hbn-sync,263.569426903,0.03952000987712512,0.0,1920,0
aime26__model=qwen2_5_7b,qwen2_5_7b,64,hbn-async,184.505474378,0.03906104924967527,0.000538321425775616,1920,9
aime26__model=qwen3_5_27b,qwen3_5_27b,8,uniform,593.740239248,0.15782402563766476,0,240,0
aime26__model=qwen3_5_27b,qwen3_5_27b,8,hbn-sync,924.536965777,0.1593430172059259,0.0,240,0
aime26__model=qwen3_5_27b,qwen3_5_27b,8,hbn-async,891.787808154,0.15975619570895463,0.017245300221292545,240,45
aime26__model=qwen3_5_27b,qwen3_5_27b,16,uniform,1190.065475685,0.31639142252864305,0,480,0
aime26__model=qwen3_5_27b,qwen3_5_27b,16,hbn-sync,1397.177227052,0.3267924358576732,0.0,480,0
aime26__model=qwen3_5_27b,qwen3_5_27b,16,hbn-async,1272.098140333,0.32647911060471707,0.0,480,0
aime26__model=qwen3_5_27b,qwen3_5_27b,32,uniform,2104.610804776,0.6324025400727603,0,960,0
aime26__model=qwen3_5_27b,qwen3_5_27b,32,hbn-sync,2510.789867107,0.661745973683971,0.0,960,0
aime26__model=qwen3_5_27b,qwen3_5_27b,32,hbn-async,2230.211458888,0.660199690684462,0.0,960,0
aime26__model=qwen3_5_27b,qwen3_5_27b,64,uniform,4113.075933887,1.2591433853010872,0,1920,0
aime26__model=qwen3_5_27b,qwen3_5_27b,64,hbn-sync,4569.454396941,1.3299599508751996,0.0,1920,0
aime26__model=qwen3_5_27b,qwen3_5_27b,64,hbn-async,4388.231545754,1.3287305710541937,0.0,1920,0
aime26__model=qwen3_5_4b,qwen3_5_4b,8,uniform,238.84992177,0.02981753271485235,0,240,0
aime26__model=qwen3_5_4b,qwen3_5_4b,8,hbn-sync,345.998609418,0.029924804135489536,0.0,240,0
aime26__model=qwen3_5_4b,qwen3_5_4b,8,hbn-async,312.09168325,0.029230892788688897,0.0022604779734487043,240,36
aime26__model=qwen3_5_4b,qwen3_5_4b,16,uniform,489.979048106,0.059358099044036605,0,480,0
aime26__model=qwen3_5_4b,qwen3_5_4b,16,hbn-sync,525.580523694,0.058326147639416834,0.0,480,0
aime26__model=qwen3_5_4b,qwen3_5_4b,16,hbn-async,473.310761247,0.0586865333426688,0.000160702444371968,480,12
aime26__model=qwen3_5_4b,qwen3_5_4b,32,uniform,885.915652579,0.11907243957704909,0,960,0
aime26__model=qwen3_5_4b,qwen3_5_4b,32,hbn-sync,958.231378813,0.11538600140955853,0.0,960,0
aime26__model=qwen3_5_4b,qwen3_5_4b,32,hbn-async,866.705537248,0.11563164002983731,0.0,960,0
aime26__model=qwen3_5_4b,qwen3_5_4b,64,uniform,1679.374817186,0.23684635341155122,0,1920,0
aime26__model=qwen3_5_4b,qwen3_5_4b,64,hbn-sync,1754.603480102,0.2343808770099077,0.0,1920,0
aime26__model=qwen3_5_4b,qwen3_5_4b,64,hbn-async,1638.356046397,0.23338760720909515,0.0,1920,0
aime26__model=qwen3_5_9b,qwen3_5_9b,8,uniform,282.266373281,0.054216563020594175,0,240,0
aime26__model=qwen3_5_9b,qwen3_5_9b,8,hbn-sync,403.431554031,0.05346400863649792,0.0,240,0
aime26__model=qwen3_5_9b,qwen3_5_9b,8,hbn-async,385.761615919,0.05469765099233792,0.00544663980415488,240,36
aime26__model=qwen3_5_9b,qwen3_5_9b,16,uniform,559.227208823,0.10799678030338355,0,480,0
aime26__model=qwen3_5_9b,qwen3_5_9b,16,hbn-sync,650.849718709,0.10982227132085043,0.0,480,0
aime26__model=qwen3_5_9b,qwen3_5_9b,16,hbn-async,553.317122992,0.10919543201993932,6.6953899686912e-05,480,5
aime26__model=qwen3_5_9b,qwen3_5_9b,32,uniform,1012.455019039,0.2163293641320366,0,960,0
aime26__model=qwen3_5_9b,qwen3_5_9b,32,hbn-sync,1111.29018715,0.2174038320016681,0.0,960,0
aime26__model=qwen3_5_9b,qwen3_5_9b,32,hbn-async,1029.79899141,0.217270741804715,0.0,960,0
aime26__model=qwen3_5_9b,qwen3_5_9b,64,uniform,1948.319771746,0.433085696206081,0,1920,0
aime26__model=qwen3_5_9b,qwen3_5_9b,64,hbn-sync,2063.682630307,0.43284520701855744,0.0,1920,0
aime26__model=qwen3_5_9b,qwen3_5_9b,64,hbn-async,1939.713091299,0.43276921457199,0.0,1920,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,8,uniform,20.822224124,0.004735586859503616,0,152,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,8,hbn-sync,39.33898769,0.004801807987980288,0.0,152,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,8,hbn-async,408.000796904,0.005938789790144512,0.00088749793001472,152,27
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,16,uniform,392.873032881,0.010757900408375296,0,304,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,16,hbn-sync,57.523931748,0.009409128707569664,0.0,304,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,16,hbn-async,414.392902257,0.010826180253861888,0.002730983085283328,304,77
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,32,uniform,48.001428745,0.019060927072548865,0,608,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,32,hbn-sync,418.529808224,0.020947389904605183,0.0,608,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,32,hbn-async,403.661132098,0.02297389678789632,0.003603163755902976,608,79
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,64,uniform,377.779159868,0.03915505644012954,0,1216,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,64,hbn-sync,441.144319243,0.04354690192665191,0.0,1216,0
gpqa_diamond__domain_biology__model=qwen2_5_32b,qwen2_5_32b,64,hbn-async,435.98671811,0.0456866059252183,0.003987539864338432,1216,157
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,8,uniform,0.865075375,0.000887050933551104,0,152,0
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,8,hbn-sync,1.298959043,0.00087582221088768,0.0,152,0
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,8,hbn-async,1.121018763,0.00087582221088768,9.9167023284224e-05,152,17
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,16,uniform,2.378697111,0.001774101867102208,0,304,0
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,16,hbn-sync,1.960425614,0.001751593213934592,0.0,304,0
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,16,hbn-async,1.858793094,0.001751593213934592,0.000300525018028032,304,43
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,32,uniform,3.868065365,0.003548203734204416,0,608,0
gpqa_diamond__domain_biology__model=qwen2_5_7b,qwen2_5_7b,32,hbn-sync,3.949208607,0.003492382693209088,0.0,608,0
